,CompetitionId,DurationInt,M4_launch,M4_3,M4_7,M4_15,M4_30,M4_deadline,M4_IsClamped
51,2657.0,53.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0
52,2658.0,81.0,2329.0,2381.0,2461.0,2694.0,2944.0,3214.0,
53,2667.0,81.0,3204.0,3215.0,3258.0,3284.0,3489.0,4615.0,
54,2668.0,20.0,34.0,34.0,34.0,34.0,34.0,34.0,1.0
55,2669.0,20.0,34.0,34.0,34.0,34.0,34.0,34.0,1.0
56,2678.0,55.0,39.0,39.0,39.0,39.0,39.0,39.0,1.0
57,2689.0,33.0,23.0,23.0,23.0,23.0,23.0,23.0,1.0
58,2695.0,27.0,115.0,115.0,115.0,115.0,115.0,115.0,1.0
59,2709.0,60.0,11.0,11.0,11.0,11.0,11.0,11.0,1.0
60,2711.0,141.0,3192.0,3200.0,3246.0,3193.0,3204.0,4679.0,
61,2719.0,19.0,112.0,112.0,112.0,112.0,112.0,112.0,1.0
62,2732.0,95.0,3201.0,3190.0,3179.0,3214.0,3286.0,4615.0,
63,2737.0,94.0,238.0,238.0,238.0,238.0,238.0,238.0,1.0
64,2742.0,27.0,3646.0,3714.0,3795.0,3956.0,4195.0,4195.0,
65,2743.0,24.0,90.0,90.0,90.0,90.0,90.0,90.0,1.0
66,2748.0,103.0,3275.0,3286.0,3307.0,3376.0,3667.0,4666.0,
67,2749.0,103.0,3275.0,3286.0,3307.0,3376.0,3667.0,4666.0,
68,2752.0,102.0,3274.0,3283.0,3315.0,3428.0,3685.0,4666.0,
69,2758.0,79.0,4584.0,4627.0,4651.0,4533.0,4632.0,5074.0,
70,2759.0,9.0,172.0,172.0,172.0,172.0,172.0,172.0,1.0
71,2762.0,54.0,3284.0,3284.0,3326.0,3442.0,3714.0,4195.0,
72,2764.0,45.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0
73,2766.0,21.0,209.0,209.0,209.0,209.0,209.0,209.0,1.0
74,2770.0,13.0,528.0,528.0,528.0,528.0,528.0,528.0,1.0
75,2778.0,35.0,102.0,102.0,102.0,102.0,102.0,102.0,1.0
76,2779.0,106.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0
77,2780.0,91.0,3571.0,3646.0,3727.0,3880.0,4195.0,4581.0,
78,2783.0,12.0,537.0,537.0,537.0,537.0,537.0,537.0,1.0
79,2791.0,32.0,47.0,47.0,47.0,47.0,47.0,47.0,1.0
80,2799.0,106.0,4379.0,4563.0,4647.0,4732.0,4701.0,4793.0,
81,2803.0,44.0,172.0,172.0,172.0,172.0,172.0,172.0,1.0
82,2820.0,24.0,329.0,329.0,329.0,329.0,329.0,329.0,1.0
83,2822.0,20.0,110.0,110.0,110.0,110.0,110.0,110.0,1.0
84,2824.0,29.0,167.0,167.0,167.0,167.0,167.0,167.0,1.0
85,2825.0,29.0,167.0,167.0,167.0,167.0,167.0,167.0,1.0
86,2826.0,39.0,102.0,102.0,102.0,102.0,102.0,102.0,1.0
87,2830.0,14.0,40.0,40.0,40.0,40.0,40.0,40.0,1.0
88,2831.0,3.0,3807.0,3880.0,3880.0,3880.0,3880.0,3880.0,
89,2832.0,19.0,23.0,23.0,23.0,23.0,23.0,23.0,1.0
90,2834.0,6.0,40.0,40.0,40.0,40.0,40.0,40.0,1.0
91,2840.0,60.0,4646.0,4693.0,4736.0,4740.0,4615.0,4524.0,
92,2850.0,22.0,83.0,83.0,83.0,83.0,83.0,83.0,1.0
93,2860.0,46.0,4764.0,4760.0,4735.0,4655.0,4550.0,4648.0,
94,2863.0,62.0,4564.0,4682.0,4746.0,4795.0,4805.0,5072.0,
95,2888.0,127.0,4693.0,4732.0,4764.0,4749.0,4612.0,5099.0,
96,2892.0,27.0,87.0,87.0,87.0,87.0,87.0,87.0,1.0
97,2895.0,52.0,4701.0,4736.0,4763.0,4737.0,4636.0,4648.0,
98,2914.0,60.0,13.0,13.0,13.0,13.0,13.0,13.0,1.0
99,2915.0,11.0,47.0,47.0,47.0,47.0,47.0,47.0,1.0
100,2917.0,84.0,4516.0,4533.0,4564.0,4553.0,4773.0,5041.0,
101,2935.0,23.0,4636.0,4591.0,4585.0,4619.0,4645.0,4645.0,
102,2947.0,35.0,4594.0,4619.0,4527.0,4584.0,4533.0,4568.0,
103,2954.0,95.0,4636.0,4591.0,4585.0,4619.0,4545.0,5096.0,
104,2958.0,75.0,4561.0,4610.0,4636.0,4524.0,4564.0,4986.0,
105,2959.0,72.0,4636.0,4660.0,4516.0,4568.0,4746.0,5045.0,
106,2969.0,121.0,5812.0,5838.0,5861.0,5810.0,5952.0,6105.0,
107,2974.0,63.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0
108,2975.0,61.0,4803.0,4803.0,4854.0,4977.0,5071.0,4893.0,
109,2984.0,63.0,4564.0,4540.0,4550.0,4733.0,4790.0,5096.0,
110,3007.0,60.0,25.0,25.0,25.0,25.0,25.0,25.0,1.0
111,3015.0,5.0,26.0,26.0,26.0,26.0,26.0,26.0,1.0
112,3023.0,3.0,5072.0,5070.0,5070.0,5070.0,5070.0,5070.0,
113,3043.0,74.0,4826.0,4862.0,4929.0,5045.0,5069.0,4715.0,
114,3046.0,64.0,4798.0,4786.0,4788.0,4805.0,4987.0,5031.0,
115,3064.0,42.0,4805.0,4826.0,4893.0,4987.0,5070.0,5009.0,
116,3065.0,60.0,4977.0,5009.0,5074.0,5071.0,5023.0,4732.0,
117,3066.0,55.0,5045.0,5074.0,5107.0,5069.0,5058.0,4732.0,
118,3077.0,90.0,16.0,16.0,16.0,16.0,16.0,16.0,1.0
119,3080.0,42.0,4805.0,4826.0,4893.0,4987.0,5070.0,5009.0,
120,3081.0,84.0,148.0,148.0,148.0,148.0,148.0,148.0,1.0
121,3084.0,65.0,4956.0,4895.0,4901.0,4730.0,4706.0,4084.0,
122,3085.0,16.0,275.0,275.0,275.0,275.0,275.0,275.0,1.0
123,3090.0,8.0,4805.0,4826.0,4893.0,4895.0,4895.0,4895.0,
124,3102.0,12.0,24.0,24.0,24.0,24.0,24.0,24.0,1.0
125,3106.0,25.0,147.0,147.0,147.0,147.0,147.0,147.0,1.0
126,3108.0,72.0,4961.0,4987.0,5062.0,5087.0,5009.0,4697.0,
127,3112.0,31.0,5087.0,5070.0,5070.0,5009.0,4909.0,4895.0,
128,3116.0,37.0,363.0,363.0,363.0,363.0,363.0,363.0,1.0
129,3118.0,55.0,63.0,63.0,63.0,63.0,63.0,63.0,1.0
130,3125.0,60.0,390.0,390.0,390.0,390.0,390.0,390.0,1.0
131,3126.0,59.0,5096.0,5099.0,5070.0,5040.0,5040.0,4718.0,
132,3132.0,59.0,117.0,117.0,117.0,117.0,117.0,117.0,1.0
133,3135.0,90.0,27.0,27.0,27.0,27.0,27.0,27.0,1.0
134,3141.0,40.0,80.0,80.0,80.0,80.0,80.0,80.0,1.0
135,3149.0,20.0,37.0,37.0,37.0,37.0,37.0,37.0,1.0
136,3152.0,56.0,5074.0,5021.0,5023.0,4901.0,4715.0,4222.0,
137,3154.0,57.0,5058.0,5047.0,4956.0,4879.0,4720.0,4207.0,
138,3161.0,26.0,241.0,241.0,241.0,241.0,241.0,241.0,1.0
139,3163.0,28.0,4864.0,4730.0,4728.0,4718.0,4613.0,4613.0,
140,3170.0,122.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
141,3175.0,105.0,6241.0,6138.0,6073.0,5977.0,5965.0,8338.0,
142,3184.0,38.0,238.0,238.0,238.0,238.0,238.0,238.0,1.0
143,3188.0,44.0,299.0,299.0,299.0,299.0,299.0,299.0,1.0
144,3190.0,16.0,147.0,147.0,147.0,147.0,147.0,147.0,1.0
145,3191.0,16.0,147.0,147.0,147.0,147.0,147.0,147.0,1.0
146,3193.0,49.0,4696.0,4708.0,4685.0,4613.0,4170.0,4158.0,
147,3194.0,61.0,13.0,13.0,13.0,13.0,13.0,13.0,1.0
148,3198.0,95.0,4655.0,4728.0,4790.0,4887.0,5146.0,5792.0,
149,3199.0,81.0,4239.0,4207.0,4181.0,4033.0,4149.0,4276.0,
150,3209.0,103.0,4239.0,4207.0,4181.0,4033.0,4149.0,4372.0,
151,3211.0,12.0,4725.0,4716.0,4708.0,4686.0,4686.0,4686.0,
152,3219.0,23.0,106.0,106.0,106.0,106.0,106.0,106.0,1.0
153,3232.0,46.0,158.0,158.0,158.0,158.0,158.0,158.0,1.0
154,3235.0,26.0,4694.0,4658.0,4608.0,4238.0,4127.0,4127.0,
155,3238.0,33.0,4608.0,4608.0,4499.0,4191.0,4118.0,4209.0,
156,3242.0,31.0,134.0,134.0,134.0,134.0,134.0,134.0,1.0
